CPU Energy,CPU Model,Device ID,Duration (s),Energy (kWh),GPU Energy,GPU Model,Log Level,Measure Power Secs,Measurement Type,OS,RAM,RAM Energy,Run ID,Run Number,Script,Total Energy Consumed,Tracking Mode
4.0230147043863935e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.4085638523101807,4.1603351794526596e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3732047506626562e-06,e3f7f5702747fef464d80751710910b4b9c474e8bf1dce4ec14c0af25acd90cf,3,neural_network_wine.py,4.1603351794526596e-05,machine
3.2603618502616886e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.762657165527344,3.371633777562447e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.11271927300758e-06,682560b21a9c82519cbb99c35e71cffcc602e510ac95a4230b5021eeaec290f6,2,pca_breast_cancer.py,3.371633777562447e-05,machine
3.2481909626060065e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.7521603107452393,3.359037647950206e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1084668534419962e-06,682560b21a9c82519cbb99c35e71cffcc602e510ac95a4230b5021eeaec290f6,3,pca_breast_cancer.py,3.359037647950206e-05,machine
5.041338387462829e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.271063327789307,5.213433960139538e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.7209557267671017e-06,70cf5951d105d8b560c291cb94367da9b505d83bb1a38441af1c963539a4aa67,2,random_forest_digits.py,5.213433960139538e-05,machine
5.029133442375396e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,4.260833978652953,5.2007798350295817e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.7164639265418675e-06,70cf5951d105d8b560c291cb94367da9b505d83bb1a38441af1c963539a4aa67,3,random_forest_digits.py,5.2007798350295817e-05,machine
3.151076899634467e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.669983148574829,3.258615036624506e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0753813699003937e-06,67c3a5a23d69e50028e9f853ebaffce8cbe7ef0e8431a0bb959678706d126da3,2,support_vector_iris.py,3.258615036624506e-05,machine
3.1463961137665645e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.665905475616455,3.2536525506727064e-05,0,,debug,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0725643690614107e-06,67c3a5a23d69e50028e9f853ebaffce8cbe7ef0e8431a0bb959678706d126da3,3,support_vector_iris.py,3.2536525506727064e-05,machine
3.8865536120202806e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.292670726776123,4.019182168475318e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3262855645503654e-06,534b13c0ca83175d5beb041f95a471b7925edac07f170b165489cae4aa96fb03,1,ada_boost_iris.py,4.019182168475318e-05,machine
3.8836390276749935e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.290290117263794,4.0162066814601946e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.3256765378520186e-06,534b13c0ca83175d5beb041f95a471b7925edac07f170b165489cae4aa96fb03,2,ada_boost_iris.py,4.0162066814601946e-05,machine
3.90179079439905e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,3.305572509765625,4.0349773673604616e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.331865729614113e-06,534b13c0ca83175d5beb041f95a471b7925edac07f170b165489cae4aa96fb03,3,ada_boost_iris.py,4.0349773673604616e-05,machine
3.214809331629012e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.723668098449707,3.324482340328523e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.0967300869951185e-06,7c95f2e7d5db42277da5843cecd0488426dd4ab6ddcf878902bc8e784e369236,1,decision_tree_wine.py,3.324482340328523e-05,machine
3.2365652753247165e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.742093086242676,3.347030172550976e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1046489722626043e-06,7c95f2e7d5db42277da5843cecd0488426dd4ab6ddcf878902bc8e784e369236,2,decision_tree_wine.py,3.347030172550976e-05,machine
3.230972819858127e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.737313985824585,3.3412491735704494e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1027635371232236e-06,7c95f2e7d5db42277da5843cecd0488426dd4ab6ddcf878902bc8e784e369236,3,decision_tree_wine.py,3.3412491735704494e-05,machine
3.37412887149387e-05,ARMv8 Processor rev 1 (v8l),Jetson Nano,2.8586885929107666,3.4892965988594186e-05,0,,info,5,CC,Linux-4.9.337-tegra-aarch64-with-Ubuntu-18.04-bionic,3.8709793090820312,1.1516772736554984e-06,cff2f9157e0ef3654b432f0819efa81aab5311772ea4813b50d6d7d92c415dad,1,k_means_clustering_iris.py,3.4892965988594186e-05,machine
